,dominio,free_date,last_check
0,36mm.cl,2018-09-25 23:14:19,
1,3hielos.cl,2018-09-25 23:14:19,
2,aafchile.cl,2018-09-25 23:14:19,
3,abogadosfjp.cl,2018-09-25 23:14:19,
4,aceroled.cl,2018-09-25 23:14:19,
5,acncontrol.cl,2018-09-25 23:14:19,
6,agromalloco.cl,2018-09-25 23:14:19,
7,alarmasparacasas.cl,2018-09-25 23:14:19,
8,alta-cumbre.cl,2018-09-25 23:14:19,
9,amancayaeduca.cl,2018-09-25 23:14:19,
10,andreamurillo.cl,2018-09-25 23:14:19,
11,angularjs.cl,2018-09-25 23:14:19,
12,aquarm.cl,2018-09-25 23:14:19,
13,arkitec.cl,2018-09-25 23:14:19,
14,armitron.cl,2018-09-25 23:14:19,
15,arquitecturainclusiva.cl,2018-09-25 23:14:19,
16,arrecifesaustrales.cl,2018-09-25 23:14:19,
17,artiguesdechile.cl,2018-09-25 23:14:19,
18,aseoparatuhogar.cl,2018-09-25 23:14:19,
19,asipro.cl,2018-09-25 23:14:19,
20,atencionconsciente.cl,2018-09-25 23:14:19,
21,aysenpatagoniaviva.cl,2018-09-25 23:14:19,
22,b2bestrategia.cl,2018-09-25 23:14:19,
23,badgirls8.cl,2018-09-25 23:14:19,
24,bakari.cl,2018-09-25 23:14:19,
25,bandasociados.cl,2018-09-25 23:14:19,
26,baritono.cl,2018-09-25 23:14:19,
27,barriopatrimonialdelaserena.cl,2018-09-25 23:14:19,
28,bicentenariodental.cl,2018-09-25 23:14:19,
29,bilanz.cl,2018-09-25 23:14:19,
30,biontex.cl,2018-09-25 23:14:19,
31,bioweed.cl,2018-09-25 23:14:19,
32,bolsasdealgodon.cl,2018-09-25 23:14:19,
33,bpproducciones.cl,2018-09-25 23:14:19,
34,brakehunter.cl,2018-09-25 23:14:19,
35,breaktheice.cl,2018-09-25 23:14:19,
36,buinasociados.cl,2018-09-25 23:14:19,
37,bujinkaniquique.cl,2018-09-25 23:14:19,
38,buscoun.cl,2018-09-25 23:14:19,
39,cachaguariders.cl,2018-09-25 23:14:19,
40,caffeespresso.cl,2018-09-25 23:14:19,
41,calzadosbyj.cl,2018-09-25 23:14:19,
42,caminodelmar.cl,2018-09-25 23:14:19,
43,capacitafeliz.cl,2018-09-25 23:14:19,
44,cardenasdiputado.cl,2018-09-25 23:14:19,
45,carlosantoniovergara-periodista.cl,2018-09-25 23:14:19,
46,casantino.cl,2018-09-25 23:14:19,
47,cavaventisquero.cl,2018-09-25 23:14:19,
48,cdqambientaciones.cl,2018-09-25 23:14:19,
49,ceincicog.cl,2018-09-25 23:14:19,
50,celebrarconestilo.cl,2018-09-25 23:14:19,
51,centroauto.cl,2018-09-25 23:14:19,
52,ceramicasrex.cl,2018-09-25 23:14:19,
53,cerveza420.cl,2018-09-25 23:14:19,
54,chameleonservices.cl,2018-09-25 23:14:19,
55,chilecampeondelmundo.cl,2018-09-25 23:14:19,
56,chilesatisfaccion.cl,2018-09-25 23:14:19,
57,ciicc.cl,2018-09-25 23:14:19,
58,ciprianirestaurant.cl,2018-09-25 23:14:19,
59,claudiadelpino.cl,2018-09-25 23:14:19,
60,clavijovic.cl,2018-09-25 23:14:19,
61,cleanfosas.cl,2018-09-25 23:14:19,
62,cleanwaterchile.cl,2018-09-25 23:14:19,
63,cloud4all.cl,2018-09-25 23:14:19,
64,coachchile.cl,2018-09-25 23:14:19,
65,cobrearte.cl,2018-09-25 23:14:19,
66,codegroup.cl,2018-09-25 23:14:19,
67,colorimagen.cl,2018-09-25 23:14:19,
68,comodato.cl,2018-09-25 23:14:19,
69,comunidadayekan.cl,2018-09-25 23:14:19,
70,comunidadvertical.cl,2018-09-25 23:14:19,
71,concejala.cl,2018-09-25 23:14:19,
72,condominiobosquereal.cl,2018-09-25 23:14:19,
73,condominiocasasdelvalle.cl,2018-09-25 23:14:19,
74,conflores.cl,2018-09-25 23:14:19,
75,consultaaltodental.cl,2018-09-25 23:14:19,
76,consultoresypropiedades.cl,2018-09-25 23:14:19,
77,contrerasdiputado.cl,2018-09-25 23:14:19,
78,contruvita.cl,2018-09-25 23:14:19,
79,conuemanque.cl,2018-09-25 23:14:19,
80,copa-antofagasta.cl,2018-09-25 23:14:19,
81,copasentre.cl,2018-09-25 23:14:19,
82,copiarypegar.cl,2018-09-25 23:14:19,
83,cotizapro.cl,2018-09-25 23:14:19,
84,credisol.cl,2018-09-25 23:14:19,
85,criaderoboyeros.cl,2018-09-25 23:14:19,
86,crystalnatural.cl,2018-09-25 23:14:19,
87,cuadernospublicitarios.cl,2018-09-25 23:14:19,
88,cubobit.cl,2018-09-25 23:14:19,
89,cuentosdellago.cl,2018-09-25 23:14:19,
90,curriculumvideo.cl,2018-09-25 23:14:19,
91,cycrestauraciones.cl,2018-09-25 23:14:19,
92,danacap.cl,2018-09-25 23:14:19,
93,debatecorp.cl,2018-09-25 23:14:19,
94,decobolitas.cl,2018-09-25 23:14:19,
95,decodigitalfta.cl,2018-09-25 23:14:19,
96,decosmico.cl,2018-09-25 23:14:19,
97,defensoria-laboral.cl,2018-09-25 23:14:19,
98,dega.cl,2018-09-25 23:14:19,
99,delakes.cl,2018-09-25 23:14:19,
100,delbosquemuebles.cl,2018-09-25 23:14:19,
101,deliciasdesantodomingo.cl,2018-09-25 23:14:19,
102,demandahonorarios.cl,2018-09-25 23:14:19,
103,departamentoamoblado.cl,2018-09-25 23:14:19,
